nupdates,policy_loss,d_targ,value_loss,eplenmean,serial_timesteps,eprewmean,policy_entropy,clipfrac,explained_variance,fps,time_elapsed,approxkl,lr,total_timesteps
347,-0.0054875,0.006,0.0688353,914.39,177664,1581.61578333,0.0870086,0.0708313,0.640538215637207,5278,1091.0309476852417,0.00555892,0.0003,5685248
348,-0.00605169,0.006,0.0524727,922.97,178176,1590.33920121,0.0796258,0.0827942,0.7200809419155121,5271,1094.139070034027,0.00624798,0.0003,5701632
349,-0.00587817,0.006,0.0642956,932.68,178688,1594.02188508,0.0718906,0.0855103,0.6167025864124298,5324,1097.216625213623,0.00649455,0.0003,5718016
350,-0.00578744,0.006,0.0686402,937.42,179200,1628.90687734,0.0689278,0.0745392,0.6372042894363403,5274,1100.323481798172,0.00571695,0.0003,5734400
351,-0.00615345,0.006,0.0612885,924.16,179712,1608.803052,0.0630204,0.0859528,0.5833119750022888,5263,1103.4381930828094,0.0064368,0.0003,5750784
352,-0.0058455,0.006,0.0723684,915.37,180224,1604.09955481,0.0577582,0.085968,0.6495317816734314,5274,1106.5449965000153,0.00650887,0.0003,5767168
353,-0.00528742,0.006,0.0678972,899.32,180736,1575.23898899,0.0537972,0.0634613,0.631441056728363,5222,1109.6824338436127,0.00517191,0.0003,5783552
354,-0.00517135,0.006,0.060649,904.71,181248,1621.38355283,0.054873,0.063736,0.6462077498435974,5304,1112.7717287540436,0.00513911,0.0003,5799936
355,-0.00595089,0.006,0.0628406,906.87,181760,1618.9846935,0.0505164,0.085434,0.5321168005466461,5323,1115.8513669967651,0.00640263,0.0003,5816320
356,-0.00598842,0.006,0.0608192,919.68,182272,1664.00588066,0.0509177,0.0777893,0.15738552808761597,5322,1118.9299054145813,0.00588431,0.0003,5832704
357,-0.00544074,0.006,0.0749729,926.85,182784,1681.29954934,0.0474349,0.0586395,0.5459397733211517,5291,1122.0266425609589,0.00471939,0.0003,5849088
358,-0.0055596,0.006,0.0659883,926.65,183296,1711.20515915,0.0346131,0.0726166,0.1312549114227295,5317,1125.108339548111,0.00567283,0.0003,5865472
359,-0.0048825,0.006,0.083702,935.06,183808,1734.67623448,0.0278825,0.0632935,0.5876654982566833,5254,1128.226586341858,0.00519675,0.0003,5881856
360,-0.00607607,0.006,0.0577329,930.68,184320,1751.7868793,0.0256646,0.0796814,0.2363976240158081,5331,1131.3002066612244,0.00611078,0.0003,5898240
361,-0.00549436,0.006,0.0906116,895.97,184832,1697.46679349,0.0235257,0.0778656,0.4445973038673401,5283,1134.401598930359,0.0060766,0.0003,5914624
362,-0.00647299,0.006,0.0624254,860.65,185344,1628.66553551,0.018783,0.0838928,0.5087503790855408,5298,1137.4942185878754,0.00638746,0.0003,5931008
363,-0.00522052,0.006,0.102671,840.27,185856,1584.99752991,0.00986677,0.0740967,0.3121526837348938,5311,1140.5793135166168,0.0058759,0.0003,5947392
364,-0.00590237,0.006,0.0604912,827.26,186368,1555.22198851,0.00680485,0.0888214,0.503445565700531,5280,1143.6826176643372,0.00667263,0.0003,5963776
365,-0.00530113,0.006,0.0829882,825.79,186880,1551.67975122,0.00325346,0.0739746,0.48954951763153076,5388,1146.7233312129974,0.00575582,0.0003,5980160
366,-0.00577322,0.006,0.0709845,804.5,187392,1505.76420315,-0.00455543,0.0801086,0.5749673545360565,5255,1149.841328382492,0.00599794,0.0003,5996544
367,-0.00558158,0.006,0.0846924,834.52,187904,1561.23970919,-0.0109656,0.0860443,0.600198894739151,5293,1152.9370272159576,0.00652075,0.0003,6012928
368,-0.00498441,0.006,0.0534967,859.77,188416,1607.70983267,-0.0171728,0.068222,0.8060902506113052,5254,1156.0568099021912,0.00543644,0.0003,6029312
369,-0.00533896,0.006,0.0696552,890.49,188928,1659.79063368,-0.0234112,0.0698242,0.6736023128032684,5324,1159.1344261169434,0.00552772,0.0003,6045696
370,-0.0054035,0.006,0.0842155,879.43,189440,1652.29128812,-0.0270542,0.0782318,0.6152756810188293,5315,1162.2168774604797,0.00597481,0.0003,6062080
371,-0.00567138,0.006,0.0721857,901.77,189952,1695.20069867,-0.0315526,0.0841064,0.7445744872093201,5301,1165.3074967861176,0.00642247,0.0003,6078464
372,-0.00558472,0.006,0.0803394,907.46,190464,1686.58660725,-0.0365358,0.0809021,0.6548996567726135,5305,1168.3960943222046,0.00616198,0.0003,6094848
373,-0.00558835,0.006,0.0666565,911.66,190976,1696.24435108,-0.039515,0.08638,0.634741485118866,5322,1171.4749825000763,0.00643697,0.0003,6111232
374,-0.00612942,0.006,0.0989371,870.56,191488,1628.14874045,-0.0407024,0.086853,0.607091873884201,5256,1174.59197473526,0.006585,0.0003,6127616
375,-0.00536869,0.006,0.0660827,851.04,192000,1582.58346987,-0.0440174,0.0664062,0.5951871275901794,5280,1177.694987297058,0.0055799,0.0003,6144000
376,-0.00541234,0.006,0.0835181,847.89,192512,1589.39015791,-0.0579752,0.0714417,0.593543291091919,5368,1180.747234582901,0.00576103,0.0003,6160384
377,-0.00632088,0.006,0.0767445,859.97,193024,1624.74514817,-0.0707019,0.0824585,0.7187889814376831,5267,1183.8579335212708,0.00621547,0.0003,6176768
378,-0.00612629,0.006,0.0562086,866.09,193536,1628.63952202,-0.0785451,0.06604,0.6997696757316589,5277,1186.9630386829376,0.00524249,0.0003,6193152
379,-0.00567397,0.006,0.0755133,888.23,194048,1667.51490854,-0.0848039,0.0678711,0.5727560222148895,5304,1190.0518724918365,0.00542499,0.0003,6209536
380,-0.00557462,0.006,0.0836013,901.08,194560,1717.81864416,-0.0922158,0.0776978,0.6609147489070892,5202,1193.201780796051,0.00592393,0.0003,6225920
381,-0.0054797,0.006,0.0651062,918.18,195072,1729.0692774,-0.0989936,0.0884399,0.6362706124782562,5304,1196.2907452583313,0.00647822,0.0003,6242304
382,-0.00533207,0.006,0.0904458,895.5,195584,1698.03325997,-0.100474,0.0660095,0.06918495893478394,5304,1199.3796999454498,0.00519193,0.0003,6258688
383,-0.00548385,0.006,0.0850055,878.99,196096,1703.9624674,-0.109205,0.0662842,0.45687228441238403,5302,1202.4696598052979,0.00527275,0.0003,6275072
384,-0.00558501,0.006,0.0766915,872.92,196608,1687.79530684,-0.117765,0.0666351,0.6915630102157593,5278,1205.5741565227509,0.00525388,0.0003,6291456
385,-0.0053636,0.006,0.0724369,880.94,197120,1705.7565707,-0.123853,0.0661316,0.6524954438209534,5251,1208.6946294307709,0.00526394,0.0003,6307840
386,-0.00553004,0.006,0.0802728,890.67,197632,1746.1824114,-0.126688,0.0759735,0.6371751725673676,5290,1211.7921571731567,0.00570085,0.0003,6324224
387,-0.00542962,0.006,0.0721358,898.05,198144,1767.77048173,-0.131984,0.0822754,0.5302207171916962,5295,1214.8862965106964,0.00615835,0.0003,6340608
388,-0.00511574,0.006,0.0909021,898.09,198656,1759.53102311,-0.13815,0.0565948,0.43825763463974,5282,1217.9883031845093,0.00473167,0.0003,6356992
389,-0.00531365,0.006,0.0720742,884.45,199168,1728.62217505,-0.141399,0.0713043,0.5367172360420227,5233,1221.1194038391113,0.00566104,0.0003,6373376
390,-0.00597226,0.006,0.0839912,898.85,199680,1764.52204105,-0.141915,0.0791321,0.6457288563251495,5331,1224.1927359104156,0.00597697,0.0003,6389760
391,-0.00524063,0.006,0.0711588,892.86,200192,1742.73943671,-0.139653,0.0699615,0.7225828170776367,5266,1227.3043613433838,0.00548073,0.0003,6406144
392,-0.00594509,0.006,0.0704127,897.92,200704,1722.70795614,-0.135971,0.0696411,0.720253586769104,5281,1230.4068722724915,0.00553893,0.0003,6422528
393,-0.00562462,0.006,0.079298,907.32,201216,1754.29597239,-0.134769,0.0829468,0.10353690385818481,5267,1233.5175051689148,0.00625698,0.0003,6438912
