fps,lr,policy_loss,total_timesteps,approxkl,time_elapsed,eplenmean,d_targ,serial_timesteps,value_loss,explained_variance,beta,eprewmean,policy_entropy,nupdates
5086,0.0010125,-0.0352086,12337152,0.0140336,2388.3251638412476,805.11,0.012,385536,0.0825024,0.6786072552204132,0.732254,2285.29200911,0.804767,753
5139,0.0010125,-0.00682895,12353536,0.0125845,2391.5133442878723,819.87,0.012,386048,0.0638864,0.7405000925064087,0.732254,2364.04146924,0.821923,754
5249,0.0010125,-0.00684289,12369920,0.0122892,2394.634975671768,846.85,0.012,386560,0.0752877,0.5768149793148041,0.732254,2446.55301038,0.84318,755
5149,0.0010125,-0.00484878,12386304,0.0124676,2397.8170478343964,860.0,0.012,387072,0.0648342,0.6434685587882996,0.732254,2452.38756451,0.843925,756
5141,0.0010125,-0.006911,12402688,0.0107724,2401.0037655830383,861.62,0.012,387584,0.0743087,0.7059818804264069,0.732254,2477.49773955,0.832357,757
5246,0.0010125,-0.00612521,12419072,0.0121505,2404.1270637512207,852.19,0.012,388096,0.0811553,0.7418752610683441,0.732254,2412.08637261,0.802253,758
5129,0.0010125,-0.00635551,12435456,0.0109321,2407.321371078491,862.28,0.012,388608,0.0669402,0.8080853521823883,0.732254,2430.29169689,0.79043,759
5188,0.0010125,-0.00788633,12451840,0.0127913,2410.4797353744507,875.54,0.012,389120,0.0831864,0.7554979026317596,0.732254,2462.811082,0.79015,760
5182,0.0010125,-0.00628128,12468224,0.0100958,2413.6412811279297,852.62,0.012,389632,0.0608921,0.6261139214038849,0.732254,2398.40110585,0.775752,761
5180,0.0010125,-0.00676329,12484608,0.0114666,2416.8043191432953,844.33,0.012,390144,0.0963911,0.39548927545547485,0.732254,2382.38581834,0.78869,762
5230,0.0010125,-0.00780179,12500992,0.0108017,2419.937168598175,821.9,0.012,390656,0.0799928,0.772053673863411,0.732254,2356.38920118,0.786759,763
5283,0.0010125,-0.00789791,12517376,0.0134167,2423.038744688034,779.61,0.012,391168,0.0785282,0.8192040920257568,0.732254,2207.00884305,0.793316,764
